timeframe,strategy,atr_sl,rr,score,trades,return_pct,max_dd_pct,profit_factor,win_rate
H1,adx_donchian_55,2.5,3.0,3.610157646925716,245,72.97,13.13,1.326,0.31
D1,ema_50_200+HTF_EMA55,2.5,2.5,3.606849890789332,12,5.45,4.46,1.756,0.417
H3,aroon_cross_25+HTF_EMA55,2.5,2.5,3.602929897862776,50,21.21,5.42,1.625,0.4
H4,macd_hist_turn,2.5,3.0,3.5975884977586383,57,24.52,5.96,1.615,0.351
H4,macd_cross,2.5,3.0,3.5975884977586383,57,24.52,5.96,1.615,0.351
M1,adx_donchian_20+HTF_EMA55,2.5,3.0,3.597327769930339,171,64.79,12.71,1.387,0.327
H3,sma_50_200,2.0,2.0,3.595863176313858,33,12.31,3.0,1.636,0.455
H3,adx_donchian_55+HTF_EMA55,2.5,3.0,3.5954805024234258,62,28.18,7.73,1.62,0.355
H3,adx_donchian_55,2.5,3.0,3.5954805024234258,62,28.18,7.73,1.62,0.355
M15,donchian_10,2.5,2.5,3.59119382838433,96,37.8,8.31,1.529,0.385
M3,adx_donchian_20,2.0,2.0,3.590770258191131,65,23.67,5.99,1.597,0.446
M3,donchian_55,2.5,3.0,3.579752688304449,40,21.18,11.36,1.768,0.375
M3,donchian_55+HTF_EMA55,2.5,3.0,3.579752688304449,40,21.18,11.36,1.768,0.375
M30,volume_spike_break+HTF_EMA55,2.0,2.0,3.574122673098117,54,18.98,4.0,1.586,0.444
M1,bb_breakout,2.5,3.0,3.5665249436843824,139,52.96,10.52,1.434,0.331
M3,donchian_55+HTF_EMA55,2.5,2.5,3.5552267938838336,47,20.65,8.23,1.676,0.404
H1,adx_donchian_55,2.5,2.5,3.554521075759269,260,73.07,13.99,1.309,0.35
M1,donchian_10+HTF_EMA55,2.0,2.0,3.5537090143454693,514,98.44,19.24,1.178,0.381
W1,donchian_20,2.0,2.0,3.5512018528113622,13,4.97,2.97,1.685,0.462
D1,aroon_cross_25+HTF_EMA55,2.5,3.0,3.5416359389555896,50,23.42,7.73,1.64,0.36
H4,adx_donchian_20+HTF_EMA55,2.5,3.0,3.538572172219345,44,21.11,7.73,1.66,0.364
M1,bb_breakout+HTF_EMA55,2.5,3.0,3.5236630283261063,129,50.19,11.36,1.461,0.333
H3,aroon_cross_25+HTF_EMA55,2.5,3.0,3.5219012544093498,45,19.9,5.01,1.598,0.356
D1,donchian_10,2.5,2.5,3.5152524085256815,99,38.44,9.22,1.508,0.384
H2,adx_donchian_20_strict+HTF_EMA55,2.5,2.5,3.5119829392593926,139,45.48,7.54,1.398,0.367
H2,stoch_cross+HTF_EMA55,2.5,2.5,3.5077228791523583,119,39.47,6.87,1.439,0.37
H2,cci_100_cross+HTF_EMA55,2.5,2.5,3.5060462528396403,157,54.83,13.13,1.44,0.369
H3,aroon_cross_25+HTF_EMA55,2.0,2.0,3.5018341616158724,56,20.14,4.96,1.562,0.446
H3,sma_50_200,2.5,2.5,3.4980096800453127,30,12.23,6.45,1.688,0.4
H4,adx_donchian_20_strict+HTF_EMA55,2.5,3.0,3.4855379659694417,45,19.9,5.91,1.603,0.356
M3,adx_donchian_20,2.5,2.5,3.479409799812775,43,17.17,5.85,1.615,0.395
H2,cci_100_cross+HTF_EMA55,2.5,3.0,3.477589724156717,132,51.61,12.25,1.446,0.333
W1,adx_donchian_20_strict,2.5,3.0,3.4695699371380475,11,4.9,2.97,1.669,0.364
H1,donchian_10,2.5,2.5,3.4637761182702587,385,84.5,17.0,1.228,0.335
H2,adx_donchian_55+HTF_EMA55,2.5,3.0,3.4609959198797036,106,43.42,10.78,1.481,0.34
H1,adx_rising_break_20+HTF_EMA55,2.0,2.0,3.451071303037459,427,88.56,18.67,1.21,0.386
W1,bb_breakout,2.5,2.5,3.437656979102623,10,3.92,2.97,1.654,0.4
H2,stoch_cross+HTF_EMA55,2.5,3.0,3.43229427166378,86,32.89,8.92,1.526,0.337
H4,adx_donchian_55+HTF_EMA55,2.5,3.0,3.425473604242315,40,16.48,4.96,1.584,0.35
H1,volume_spike_break,2.5,3.0,3.420270771377542,329,77.74,15.21,1.238,0.298
M3,adx_donchian_20_strict+HTF_EMA55,2.5,3.0,3.4182904899947757,37,15.38,5.01,1.593,0.351
M3,donchian_55,2.5,2.5,3.416659890082648,48,19.45,8.23,1.621,0.396
D1,cci_100_cross,2.5,2.5,3.4151912764887404,86,32.6,8.31,1.493,0.384
M3,roc_momentum_12+HTF_EMA55,2.5,2.5,3.406695606799549,35,14.41,7.3,1.642,0.4
H1,aroon_cross_25+HTF_EMA55,2.0,2.0,3.4053137996183245,180,44.8,7.73,1.346,0.406
H1,ema_50_200+HTF_EMA55,2.5,3.0,3.4039628617010225,100,35.27,6.07,1.419,0.33
H3,sma_50_200+HTF_EMA55,2.0,2.0,3.40388247344772,29,10.15,3.97,1.588,0.448
D1,supertrend_flip,2.0,2.0,3.4037338116822617,86,27.15,5.07,1.45,0.43
M1,adx_donchian_20_strict,2.0,2.0,3.3997889158301158,242,54.3,8.68,1.275,0.397
D1,ema_9_21,2.5,2.5,3.397200951504501,59,22.89,6.79,1.542,0.39
M15,ema_21_55+HTF_EMA55,2.0,2.0,3.396158403142237,59,20.11,7.73,1.58,0.441
H2,adx_donchian_55,2.5,3.0,3.390847818577456,107,41.98,10.78,1.461,0.336
M3,adx_donchian_20_strict,2.5,2.5,3.3851504313733893,44,16.0,4.46,1.548,0.386
